P00001606T0076|14 37|alkaline phosphatases and 5
P07541912A0485|37 51|CAAT box upstream
P07541912A0485|94 95|P1
P07541912A0485|99 100|P2
P07541912A0485|54 58|exon 1
P07542577A0438|3 16|fusion proteins
P07542577A0438|104 111|epitopes
P07542616A0313|0 4|GCD10
P07542616A0313|61 64|GCN4
P07542616A0313|37 58|translational repressor
P07542616A0486|0 12|GCD10 binds RNA
P07542616A0486|99 121|yeast initiation factor-3
P07542616A0486|123 127|eIF-3
P07542616A0486|138 156|multisubunit complex
P07542616A0486|123 127|eIF-3
P07542616A0486|79 96|RNA-binding subunit
P07543592A0624|1 30|transformation-competent mutant
P07543592A0624|39 56|wild-type E5 protein
P07543684A1027|32 34|PKA
P07543684A1027|65 68|CFTR
P07543684A1027|115 133|responsive cell types
P07543684A1027|65 72|CFTR gene
P07543868A0414|62 73|cDNA fragment
P07543868A0414|91 114|epitope-specific sequence
P07544357A0808|4 8|PPC-1
P07544357A0808|147 150|CD44
P07544357A0808|147 150|CD44
P07544357A0808|77 86|LNCap cells
P07545510A0735|16 19|cotS
P07545510A0735|116 122|plasmid
P07545510A0735|136 145|cotS region
P07545510A0735|47 51|Cot40
P07545920A1336|23 32|hsiggll150
P07545920A1336|73 82|genomic DNA
P07545920A1336|36 45|hsiggll295
P07546293A0968|40 42|E2F
P07546294A0000|3 6|RAD6
P07546294A0000|51 77|ubiquitin-conjugating enzyme
P07546294A0000|8 15|UBC2 gene
P07546794A0100|58 61|RVDC
P07547500A0066|23 35|fusion protein
P07547500A0066|37 40|GAL4
P07547500A0066|42 44|p40
P07547500A0066|96 115|chicken l kappa B-alpha
P07547500A0066|59 75|DNA-binding domain
P07547510A0261|52 72|-184 HNF-3 beta promoter
P07547510A0261|35 45|binding site
P07547510A0261|206 214|LF-H3 beta
P07547510A0261|269 279|hepatocytes
P07547510A0261|244 256|HNF-3 beta gene
P07547510A0261|186 204|cell-specific factor
P07547510A0261|139 156|autoregulatory site
P07548425A0000|200 201|S2
P07552974A0217|23 46|branched-chain amino acids
P07553942A0810|6 16|rps10 intron
P07553942A0810|40 44|rrn26
P07553942A0810|57 85|Marchantia mitochondrial genome
P07553942A0810|11 16|intron
P07553942A0810|95 113|Marchantia rps10 gene
P07553942A0810|48 51|cox3
P07553942A0810|31 37|introns
P07557091A0314|16 32|human serum albumin
P07557276A0526|0 22|Alanine aminotransferase
P07557387A0241|120 137|NIH-3T3 fibroblasts
P07557424A0124|0 3|XYL1
P07557424A0124|50 79|lacZ translational fusion library
P07557446T0000|37 45|VCSA1 gene
P07558583A0562|129 150|Src-like tyrosine kinase
P07558583A0562|213 219|enzymes
P07559356T0000|72 87|Fnr-type promoter
P07559356T0000|115 122|fnrN gene
P07559402A0622|59 72|protein kinase C
P07559402A0622|94 107|protein kinase A
P07559402A0622|109 111|PKA
P07559402A0622|74 76|PKC
P07559488A0440|75 90|estradiol-17 beta
P07559488A0440|153 162|wild type ER
P07559488A0440|114 133|ERE-LacZ reporter gene
P07559524A0000|16 24|oncogenes
P07559524A0741|0 15|Cyclin D1 promoter
P07559524A0741|86 92|p41MAPK
P07559524A0741|113 131|proximal 22 base pairs
P07559524A0741|96 102|c-Ets-2
P07559524A0741|55 84|mitogen-activated protein kinase
P07559555A0557|13 17|c-Jun
P07559639A0996|84 95|consensus HSE
P07559639A0996|97 100|HSE2
P07559640A1230|89 98|UAS element
P07559640A1230|133 145|bHLH core motif
P07559650A0558|27 34|PCNA gene
P07559650A0558|56 58|E2F
P07560137T0000|28 33|MMPI-2
P07562775A0596|10 20|eosinophils
P07562775A0596|43 67|peripheral white blood cells
P07563072A0773|45 49|ppGpp
P07563072A0773|45 49|ppGpp
P07563076A0766|5 18|intron chimeras
P07563076A0766|173 175|ai4
P07563076A0766|179 181|bi4
P07563076A0766|157 170|catalytic cores
P07563090A0124|60 74|yeast Ty1 element
P07563090A0124|144 147|PPT1
P07563090A0124|182 204|integrase coding sequence
P07563090A0124|206 209|PPT2
P07563090A0124|170 176|pol gene
P07563090A0124|123 142|3' long terminal repeat
P07563090A0624|32 54|plus-strand DNA fragments
P07563090A0624|105 108|PPT2
P07563090A0624|219 235|primer binding site
P07563090A0624|159 192|plus-strand strong-stop DNA fragments
P07563090A0624|72 87|upstream fragment
P07565104A0084|18 26|pilin gene
P07565104A0084|48 51|ToxR
P07565104A0084|59 62|ToxT
P07565104A0084|28 31|tcpA
P07565113A0000|39 44|Tn4451
P07565113A0000|163 179|multicopy plasmids
P07565113A0000|100 105|plP401
P07565669T0000|3 6|p21V
P07565669T0000|87 122|myogenic basic helix-loop-helix factors
P07565672A0798|17 19|His
P07565672A0798|50 54|cpc-1
P07565672A0798|80 84|cox-5
P07565672A0798|42 46|arg-2
P07565685A0420|48 56|GABP alpha
P07565685A0420|73 89|Ets and Notch motifs
P07565685A0420|60 68|GABP beta 1
P07565688A0797|169 178|human cells
P07565688T0000|25 34|interferon
P07565688T0000|88 97|human cells
P07565688T0000|75 83|deaminase
P07565688T0000|38 83|double-stranded-RNA-specific adenosine deaminase
P07565709A0000|0 15|T-cell hybridomas
P07565709A0000|31 36|T cells
P07565709A0000|98 111|T-cell receptor
P07565709A0000|17 26|thymocytes
P07565712A0286|26 33|LYS2 gene
P07565713A0634|16 19|SCS1
P07565713A0634|107 111|Hsp60
P07565713A0634|40 44|HSP60
P07565720A0256|3 18|DNA binding domain
P07565720A0256|40 52|fusion protein
P07565720A0256|60 83|glutathione S-transferase
P07565720A0256|21 24|NirA
P07565723A0200|3 8|kinase
P07565723A0200|55 57|CTD
P07565731A1629|76 113|heterogeneous nuclear ribonucleoproteins
P07565731A1629|117 135|ARE-binding proteins
P07565736A2134|27 34|EBP alpha
P07565736A2134|80 94|nonmyeloid cells
P07565736A2134|51 77|GM-CSF receptor alpha promoter
P07565740T0000|62 65|Pdr5
P07565775T0000|20 23|mRNA
P07565776A0612|15 30|HOG1 and PBS2 genes
P07565776A0612|79 95|osmostressed cells
P07565776A0612|120 123|Hog1
P07565776A0612|60 64|HSP12
P07565797A0116|24 27|CRY1
P07565797A0116|64 71|CRY2 mRNA
P07567300T0000|0 25|Staphylococcal enterotoxin A
P07567979A1266|96 100|hERR1
P07567980T0000|4 23|p53 DNA-binding domain
P07567980T0000|4 6|p53
P07568116A0902|32 58|hydrophilic N-terminal region
P07568118A1267|23 46|G beta gamma-stimulated Shc
P07568118A1267|152 186|growth factor tyrosine kinase receptors
P07568118A1267|104 106|p21
P07568576A0074|41 45|Type A
P07569075A0585|68 69|PR
P07572582A0000|104 123|T-type calcium channel
P07574064A1416|95 100|60 mmHg
P07574682T0000|40 69|kidney-type alkaline phosphatase
P07575416A0000|0 13|Protein kinase C
P07575416A0000|15 17|PKC
P07575416A1970|81 90|cDNA probes
P07575416A1970|98 108|PKC zeta mRNA
P07575438A1409|23 45|helix-loop-helix factors
P07575438A1409|56 64|E1 element
P07576178A0000|27 35|cytokines
P07576307A1654|65 84|protein-DNA complexes
P07576307A1654|16 18|ENK
P07579023A0214|120 131|liver enzymes
P07579164A0409|14 36|cDNA and genomic sequences
P07579164A0409|72 80|atp9 genes
P07579328A0653|0 4|MZF-1
P07579328A0653|42 57|GAL4 binding sites
P07579328A0653|63 87|nonhematopoietic cell lines
P07579328A0653|14 28|CAT reporter gene
P07579328A1345|9 36|heterologous DNA binding domain
P07579328A1345|76 100|nonhematopoietic cell lines
P07579328A1345|79 100|hematopoietic cell lines
P07579328A1345|38 42|MZF-1
P07579683A0660|10 31|hGMR beta subunit mutants
P07579683A0660|86 98|c-myc promoter
P07579683A0660|43 60|cytoplasmic regions
P07579695A0336|57 60|MIF2
P07579695A0336|130 133|CBF1
P07579695A0336|140 144|NDC10
P07579695A0336|154 157|CEP3
P07579695A0336|159 163|CBF3B
P07579695A0336|146 149|CBF2
P07579695A0336|135 138|CPF1
P07579695A0336|97 128|yeast centromere protein genes-CEP1
P07579695A0693|37 47|Mif2 protein
P07579695A0693|132 149|protein-DNA complex
P07579695A0693|61 64|Cep1
P07579704A0085|17 21|actin
P07581364A0500|74 76|Ag1
P07582592A0545|0 3|HRES
P07582592A0545|109 111|LES
P07583562A1826|115 119|LDL-C
P07585246T0000|28 46|AU-rich synthetic RNA
P07585559A0000|181 199|alpha-actin promoter
P07585559A0000|210 229|ras-transformed cells
P07588240A0000|29 46|susceptibility gene
P07588240A0000|103 119|interleukin-1 beta
P07588240A0000|166 170|CPP32
P07588240A0000|153 157|Ich-1
P07588240A0000|48 52|ced-3
P07588245T0000|80 101|thyroid hormone receptor
P07588245T0000|103 104|TR
P07588603A1054|60 76|DH regulatory sites
P07588608A1687|16 27|ERF repressor
P07588608A1687|68 83|ets family of genes
P07588628A0318|16 27|wild-type p53
P07588628A0318|52 54|LCL
P07588633A0362|10 14|c-Fos
P07588633A0362|76 89|nuclear protein
P07588633A0362|182 184|Mos
P07588633A0362|19 43|c-fos protooncogene product
P07588750T0061|37 63|-phosphoglycerate kinase gene
P07588777A1524|41 49|RNAP II CTD
P07588777A1524|86 88|p42
P07589069A1245|44 55|human CD6 cDNA
P07589069A1245|109 125|cytoplasmic domain
P07589069A1245|49 51|CD6
P07589069A1245|80 103|membrane-proximal regions
P07590264A0373|87 98|DHFR and mRNAs
P07590264A0373|173 180|3' end RNA
P07590268A0350|104 121|mammalian MAPKAPK-2
P07590268A0740|7 15|MAPKAPK-2
P07590268A0740|131 138|germline
P07590283A0820|30 36|Pol beta
P07590283A0820|30 36|Pol beta
P07590283A0820|230 249|-kDa N-terminal domain
P07590744A0829|17 28|cDNA sequence
P07590744A0829|95 102|GAR1 gene
P07590744A0829|71 83|genomic clones
P07592072A0217|122 141|prostaglandin F2 alpha
P07592220A0846|0 11|End-tidal PO2
P07592220A0846|65 67|VO2
P07592220A0846|83 88|PETCO2
P07592220A0846|62 63|VE
P07592337A0891|25 28|NfxB
P07592337A0891|67 70|nfxB
P07592439A0000|0 3|A511
P07592485A0734|2 18|NCR-sensitive gene
P07592485A0734|148 164|ure2 delta mutation
P07592647A0797|3 20|single-stranded DNA
P07592647A0797|24 46|alpha recognition element
P07592647T0000|13 25|human Pur alpha
P07592647T0000|55 56|Rb
P07592647T0000|100 122|alpha recognition element
P07592647T0000|79 96|single-stranded DNA
P07592647T0000|33 53|retinoblastoma protein
P07592658A0309|3 35|insulin-induced DNA-binding complex
P07592658A0309|58 71|p65 heterodimer
P07592658A0309|54 56|p50
P07592676A0466|83 91|NIP region
P07592706A1465|49 61|phospholipase
P07592706A1465|63 75|neutral lipase
P07592710T0000|3 38|interferon-inducible protein kinase PKR
P07592710T0000|78 100|immunoglobulin kappa gene
P07592711T0000|22 33|yeast protein
P07592711T0000|107 117|beta subunit
P07592711T0000|57 76|G protein alpha subunit
P07592723A0814|102 104|PKC
P07592723A0814|102 104|PKC
P07592730A0204|8 20|TSG-14 protein
P07592730A0204|8 13|TSG-14
P07592730A0204|32 36|PTX-3
P07592771A0258|55 59|exons
P07592790A1457|29 32|PEDF
P07592790A1457|85 100|N-terminal region
P07592946A0997|23 31|TATA boxes
P07592946A0997|83 89|AP-2 box
P07592946A0997|105 111|GAGA box
P07592946A0997|170 172|Sp1
P07592946A0997|207 213|CTF-NF1
P07592946A0997|229 231|p53
P07592946A0997|249 254|NF-IL6
P07592946A0997|285 309|hepatocyte nuclear factor-5
P07592946A0997|261 264|MyoD
P07592946A0997|238 242|Ets-1
P07592946A0997|220 222|Myb
P07592946A0997|180 199|GC-rich binding factor
P07592946A0997|120 142|serum-responsive element
P07592946A0997|94 100|Malt box
P07592946A0997|72 78|AP-1 box
P07594592A0755|13 41|NF-IL6 beta leucine zipper domain
P07595221A0733|35 39|CIITA
P07595221A0733|97 115|MHC class II promoters
P07595221A0733|166 186|CIITA-expressing cells
P07595221A0733|51 65|MHC class II genes
P07595374A1215|12 16|EBNA2
P07595374A1215|202 213|LMP1 promoter
P07595374A1215|107 115|promoters
P07595857A0521|132 135|PVS1
P07596283A0396|16 21|enzyme
P07596287A0183|3 20|nucleotide sequence
P07596287A0183|54 70|open reading frames
P07596287A0183|79 82|ORF1
P07596287A0183|149 192|ATP-binding cassette membrane transport proteins
P07596287A0183|96 110|protein products
P07596287A0183|72 75|ORF5
P07596287A0183|39 42|fimA
P07596287A1724|3 11|ORF3 probe
P07596287A1724|3 6|ORF3
P07596558A0824|42 49|IL-1 beta
P07596558A0824|86 108|human vitreous hemorrhage
P07597030A0260|92 96|TFIID
P07597030A0260|104 111|hTAFII32
P07597488T0000|22 25|G6PD
P07597804A1007|68 87|glycoprotein gene EUS4
P07599653A0898|43 56|nuclear factors
P07600986A0605|83 104|Engrailed-binding sites
P07601445A0207|16 37|BAT1 translation product
P07601445A0207|79 102|WM6 Drosophila gene product
P07601445A0207|184 199|ATP-dependent RNA
P07601445A0207|165 181|DEAD protein family
P07601445A0207|58 74|p47 nuclear protein
P07601827A0778|7 17|lacZ fusions
P07601827A0778|99 123|promoter-regulatory region
P07601827A0778|45 56|DNA sequences
P07601828A0095|47 72|early class II flagellar genes
P07601828A0095|87 100|orfX-fliP locus
P07604047A0704|1 9|cDNA clone
P07604047A0704|184 196|fusion protein
P07604047A0704|238 241|GA44
P07604047A0704|251 254|GA20
P07604047A0704|245 248|GA19
P07604047A0704|232 235|GA53
P07604047A0704|1 9|cDNA clone
P07605990A1110|60 64|PEBP2
P07605990A1110|162 174|PEBP2 isoforms
P07605990A1110|70 83|GM-CSF promoter
P07607233A0186|3 16|structural gene
P07607233A0186|59 85|Staphylococcus epidermidis K7
P07607537A0954|98 117|VP16 activation domain
P07607669A1112|69 88|multiple binding sites
P07607669A1112|92 94|Sp1
P07608649A1429|67 70|ET-1
P07608968A0836|17 26|Tat mutants
P07608968A0836|149 151|TBP
P07609037A0775|22 26|Oct-1
P07609037A0775|150 170|wild-type MMTV promoter
P07609037A0775|230 253|octamer-related sequences
P07609037A0775|163 170|promoter
P07609037A0775|22 26|Oct-1
P07609079A0387|20 27|HIV-1 LTR
P07609079A0387|80 101|-amino-acid N-terminal A
P07609079A0387|30 37|T3R alpha
P07609079A0387|218 251|Tat-independent responsive sequences
P07609079A0387|25 27|LTR
P07609079A0387|143 171|basal transcription factor TFIIB
P07609079A0387|103 109|B region
P07609079A0387|30 37|T3R alpha
P07610052A1064|39 41|C25
P07610052A1064|49 60|C35 complexes
P07610052A1064|203 216|rat APP promoter
P07610052A1064|102 111|SAA element
P07610052A1064|43 45|C30
P07612174A1064|77 80|PCBs
P07614762A0224|3 21|cryptococcal antigen
P07615541T0000|20 45|DNase-I hypersensitive sites
P07615541T0000|51 88|mouse porphobilinogen deaminase gene locus
P07615634A0535|50 52|NH2
P07616563A0532|8 11|CarP
P07616563A0532|65 70|DNase I
P07616563A0532|143 154|GATC sequence
P07616563A0532|29 46|carAB control region
P07616569A0168|42 58|cytochrome oxidase
P07616569A0168|107 130|NADH dehydrogenase complex
P07616569A0168|140 144|nad4L
P07616569A0168|165 168|atp6
P07616569A0168|183 195|ribosomal RNAs
P07616569A0168|227 243|ribosomal proteins
P07616569A0168|250 254|rps11
P07616569A0168|264 268|rpl16
P07616569A0168|256 260|rps12
P07616569A0168|245 248|rps3
P07616569A0168|197 200|rrn5
P07616569A0168|172 175|atp9
P07616569A0168|150 163|ATPase subunits
P07616569A0168|132 135|nad1
P07616569A0168|60 63|cox1
P07622058A0411|3 20|PEBP2 alpha proteins
P07622058A0411|74 115|Drosophila melanogaster segmentation gene runt
P07622060A0967|2 24|human proliferative cells
P07622521A0418|27 49|G beta gamma binding region
P07622521A0418|136 151|carboxyl terminus
P07622521A0418|27 36|G beta gamma
P07622521A0418|89 96|PH domain
P07623807A0162|37 55|mutant Raf-1 proteins
P07623807A0162|115 145|v-Ras- and v-Src-transformed cells
P07623814A1040|2 10|CV-1 cells
P07623814A1040|132 133|ER
P07623814A1040|155 171|breast cancer cells
P07623814A1040|31 58|retinoid and estrogen receptors
P07623821A0649|18 22|HRF-1
P07623821A0649|67 82|palindromic motif
P07623821A0649|35 44|cis element
P07623821T0000|12 26|Gax homeobox gene
P07623821T0000|80 110|myocyte-specific enhancer factor 2
P07623821T0000|56 70|positive factors
P07623825T0000|3 58|carboxyl-terminal transactivation domain of heat shock factor 1
P07623840A0352|49 52|GCN2
P07623844A0639|14 18|Bcl-2
P07623844A0639|101 105|H-ras
P07623844A0639|184 195|wild-type p53
P07623844A0639|75 77|p53
P07624119A0528|12 15|PAX3
P07624119A0528|149 160|reporter gene
P07624119A0528|106 126|GAL4 DNA-binding domain
P07624581A0312|102 104|PRL
P07624581A0312|234 236|T30
P07624581A0312|261 263|T45
P07624581A0312|134 154|glutamine transaminase
P07624615A0267|66 69|HCO3
P07624615A0267|107 109|pHa
P07626469A1341|0 12|Basal promoter
P07626469A1341|54 88|LHR-expressing mouse Leydig tumor cells
P07626469A1341|103 124|non-expressing CHO cells
P07626469A1341|44 51|M1 domain
P07626806A1098|3 10|RAT3 gene
P07627317A1502|26 27|m3
P07628389A0145|0 24|Tumor necrosis factor-alpha
P07628389A0145|37 59|proinflammatory cytokine
P07628389A0145|108 123|mouse Leydig cells
P07628389A0145|26 33|TNF alpha
P07628438T0000|13 34|insulin receptor homolog
P07628451A0114|19 21|E1A
P07628451A0114|76 79|p300
P07628451A0114|107 113|F9 cells
P07628451A0114|19 21|E1A
P07628456A0000|3 33|double-stranded RNA binding domain
P07628456A0000|150 172|Escherichia coli RNase III
P07628456A0000|201 203|PKR
P07628456A0000|179 199|dsRNA-dependent kinase
P07628456A0000|35 39|dsRBD
P07629103T0000|63 84|mammary epithelial cells
P07629103T0000|112 134|beta-casein gene promoter
P07629122A0323|71 75|NIM-1
P07629122A0323|87 100|protein kinases
P07629150A0155|15 25|CYP11A1 gene
P07629150A0155|163 180|regulatory elements
P07629150A0155|114 126|growth factors
P07629163A0770|0 2|NH2
P07629163A0770|60 105|putative guanine nucleotide exchange factor domains
P07629196A0274|127 135|Jun kinase
P07629196A0274|167 169|JNK
P07629196A0274|171 174|SAPK
P07629196A0274|137 165|stress-activated protein kinase
P07633444T0000|60 102|mouse WD-repeat gene DMR-N9 immediately upstream
P07635140A0172|40 44|CYP19
P07635140A0172|67 90|tissue-specific promoters
P07635312A0692|56 74|actin-binding domain
P07635572A1153|0 8|CIITA mRNA
P07635572A1153|62 63|RB
P07635572A1153|0 8|CIITA mRNA
P07635572A1153|30 38|IFN-gamma
P07636179A0000|57 82|tumor-suppressor protein pRb
P07636179A0000|100 122|cyclin-dependent kinases
P07636179A0000|87 95|G1 cyclins
P07636187A0585|39 50|V beta 8.3 gene
P07636187A0585|102 118|wild-type promoter
P07636187A0585|80 94|transgenic lines
P07636648A1229|74 86|serum antibody
P07636962A1288|66 77|HSV-alpha TIF
P07636962A1883|30 45|DNA binding domain
P07636962A1883|82 93|BHV-alpha TIF
P07636962A1883|107 129|amino and carboxyl termini
P07636962A1883|48 51|GAL4
P07636984A1349|31 33|SP1
P07636984A1349|64 81|HCMV-infected cells
P07637718A0218|14 26|messenger RNAs
P07640309A0000|162 170|exons VIII
P07640422A0649|0 12|Thromboxane B2
P07642490A0318|11 17|pHBK280
P07642538A0138|23 25|RSK
P07642538A0138|57 60|RSK3
P07642538A0138|125 128|K91A
P07642538A0138|333 337|N-Ser
P07642538A0138|136 138|NH2
P07642538A0138|274 277|MAPK
P07642538A0138|101 123|site-directed RSK mutants
P07642538A0138|44 55|human RSK cDNA
P07642544A0868|22 78|human protein-tyrosine phosphatase alpha-overexpressing cells
P07642544A0868|127 135|NF-kappa B
P07642633T0000|1 17|TATA-less promoter
P07642633T0000|43 72|ubiquitous transcription factors
P07642633T0000|150 154|TEF-1
P07642633T0000|120 148|transcription enhancer factor-1
P07642633T0000|28 39|binding sites
P07644466A0578|36 38|NS3
P07644466A0578|87 107|N-terminal 181 residues
P07644466A0578|121 132|NS4A cofactor
P07644466A0578|36 38|NS3
P07644466A0578|61 82|serine proteinase domain
P07644503A0729|28 34|RAR beta
P07644503A0729|117 127|target genes
P07644503A0729|91 98|RAR gamma
P07646439A0535|91 96|mAb F11
P07647303T0000|3 18|homeobox gene ATK1
P07647570A0713|68 79|Kupffer cells
P07647570A0713|119 133|Type I deiodinase
P07648338A0815|71 78|cytokine
P07648338A0815|102 104|TNF
P07649098A0676|129 130|5'
P07649098A0676|147 150|PGE2
P07649098A0676|318 360|IGF-I promoter-luciferase-reporter constructs
P07649098A0676|420 452|murine cAMP-dependent protein kinase
P07649098A0676|554 576|mutant regulatory subunit
P07649098A0676|147 150|PGE2
P07649098A0676|454 456|PKA
P07649098A0676|454 456|PKA
P07649098A0676|402 417|catalytic subunit
P07649098A0676|252 256|exon 1
P07649098A0676|147 150|PGE2
P07651131A1407|19 24|DNase I
P07651131A1407|95 103|CIRs 5 and 6
P07651131A1407|53 81|purified 42 kDa repressor isoform
P07651141A0265|3 4|5'
P07651141A0265|41 62|169 nucleotides upstream
P07651141A0265|19 24|p-gvpF
P07651141A0265|19 30|p-gvpF-M mRNA
P07651340A0286|18 30|uvsH77 mutants
P07651340A0286|59 84|MMS-resistant transformants
P07651386A0925|30 32|p53
P07651386A0925|69 95|adenovirus major late promoter
P07651398A0257|11 21|dShc protein
P07651398A0257|105 107|DER
P07651398A0257|58 103|Drosophila epidermal growth factor receptor homolog
P07651398A0803|27 39|dShc PTB domain
P07651398A0803|61 63|DER
P07651398T0000|1 24|Drosophila shc gene product
P07651398T0000|53 77|DER receptor tyrosine kinase
P07651424A0487|28 31|Ssm1
P07651424A0487|36 52|structural protein
P07651424A0743|2 15|wild-type cells
P07651424A0743|128 131|Ssm1
P07651424A0743|17 20|SSM1
P07651734A0961|43 52|LIMK-1 mRNA
P07651734A0961|94 103|LIMK-2 mRNA
P07652575A0435|51 53|Rac
P07652575A0435|69 93|Rho inhibitor C3 transferase
P07652575A0435|57 61|Cdc42
P07652582A0000|0 8|INF-alpha
P07653094A0169|38 40|d10
P07653094A0169|46 48|d27
P07653094A0169|54 56|d40
P07653094A0169|65 67|d73
P07653094A0169|200 212|plasmid vector
P07653094A0169|233 248|CV-1 and HeLa cells
P07653094A0169|214 229|pcDL-SR alpha-296
P07653094A0169|183 193|mutant genes
P07653094A0169|58 60|d44
P07653094A0169|50 52|d31
P07653094A0169|42 44|d20
P07653892A0306|110 116|U50488H
P07654712A0774|36 51|mammalian enzymes
P07655184A0852|36 63|chimeric transmembrane protein
P07655184A0852|120 134|original protein
P07655184A0852|147 156|ER sequence
P07655184A0852|79 94|ER leader sequence
P07655505A0527|21 31|GT-2 protein
P07655509T0000|51 78|early auxin-inducible proteins
P07655509T0000|88 94|PS-IAA4
P07656588A0101|0 21|Comparative DNA sequence
P07656588A0101|148 176|closely linked FUT1 and FUT2 genes
P07656588A0101|234 240|D19S571
P07656588A0101|197 203|D19S412
P07656588A0101|106 109|FUT1
P07657162A1412|39 43|LEF-1
P07657162A1412|140 148|HMG domain
P07657162A1412|103 124|trans-activation domain
P07657668A0642|0 5|TH-SH3
P07657668A0642|95 106|Fyn SH3 domain
P07657668A0642|79 89|Btk TH domain
P07657705A1181|42 57|GPI-anchored HSPG
P07658262A0944|147 166|anticoagulant factors
P07658471A0000|46 55|early genes
P07659085A1520|3 50|ubiquitous transcription factor Oct-1 forms complexes
P07659085A1520|32 36|Oct-1
P07659085A1520|57 68|octamer motif
P07659529A0135|47 68|reporter gene constructs
P07659529A0135|135 147|human EpoR gene
P07659529A0135|81 108|transcription control elements
P07659746A1464|3 30|CVA16.4 proteolipid transcript
P07659757A0191|15 36|purified fusion proteins
P07659757A0191|42 50|gamma-32P
P07663160A0287|3 22|synthetic DNA sequence
P07665172A0000|0 19|Transcription factors
P07665172A0000|86 105|tissue-specific genes
P07665187A0208|67 76|Nramp1 mRNA
P07665187A0824|18 27|S1 nuclease
P07665187A0824|94 99|Nramp1
P07665187A0824|142 161|minor initiation sites
P07665187A0824|65 91|transcription initiation site
P07665477A0901|0 3|EsaR
P07665477A0901|66 69|esaI
P07665567A0495|43 50|CD69 gene
P07665567A0495|122 148|transcription initiation site
P07665567A0495|216 224|NF-kappa B
P07665567A0495|232 235|AP-1
P07665567A0495|226 230|Egr-1
P07665567A0495|195 214|transcription factors
P07665567A0495|82 111|TATA element 30 base pairs upstream
P07665948A0591|0 2|IgE
P07665948A0591|0 2|IgE
P07666414A0614|30 38|tmy-1 gene
P07666414A0614|80 93|lacZ fusion gene
P07666414A0614|128 176|affinity-purified tissue-specific anti-tropomyosins
P07666414A0614|71 78|promoter
P07666523T0000|72 73|T7
P07666523T0000|84 111|negative-sense RNA transcripts
P07667097A0267|16 19|p255
P07667097A0267|102 153|immunoprecipitate pre-messenger RNA and splicing products
P07667097A0267|68 73|mAb CC3
P07669351A1278|18 38|phi 29 SSB-ssDNA complex
P07670504A0834|62 76|nuclear proteins
P07670504A0834|152 154|GBF
P07670504A0834|95 99|G-box
P07672821A0763|23 26|FHR2
P07672821A0763|93 138|complement factor H and the factor H-related proteins
P07672821A0763|33 44|factor H genes
P07672822T0000|43 74|mouse pre-T-cell receptor alpha gene
P07673128A0989|28 46|cAMP response element
P07673128A0989|48 50|CRE
P07673154A0688|33 39|CAK beta
P07673154A0688|112 122|fibronectin
P07673178A0982|30 46|muscle gene E-boxes
P07673178A0982|132 147|MCK-L type E-boxes
P07675445A0463|64 95|simple sequence length polymorphism
P07675449A0848|5 24|glioblastoma cell line
P07675449A0848|72 76|PDGFR
P07675449A0848|27 44|Shc-associated p190
P07676492A1000|112 114|IHD
P07677715A1076|3 11|TAF factor
P07678006A0472|0 4|RNase
P07678006A0472|106 119|CaM PDE isoforms
P07678006A0472|50 56|PDE mRNA
P07678006A0901|93 112|T-lymphocyte total RNA
P07678051A1303|3 14|PDGFR mutants
P07678051A1303|40 47|PLC gamma
P07678242A0473|61 68|acc genes
P07678602A0153|11 42|transformed B lymphoblast cell lines
P07678602A0153|76 78|p47
P07678695A0604|22 26|Oct-3
P07678695A0604|48 67|constitutive promoter
P07678695A0604|112 136|octamer-dependent promoter
P07678695A0604|31 41|hybrid cells
P07679390A0721|0 4|RNase
P07679390A0721|111 132|transcription start site
P07679390A0721|148 160|136 bp upstream
P07679390A0721|86 97|DDT1 aFGF mRNA
P07680120A1008|11 13|1.D
P07680120A1008|133 143|aFGF protein
P07680120A1008|75 81|1.D mRNA
P07680629T0000|53 57|gp138
P07680629T0000|60 82|cell surface glycoprotein
P07681147A1420|83 99|unstimulated cells
P07681147A1420|141 144|pp60
P07681539A0000|33 43|lymphocytes
P07682842A0294|27 43|fMLF-R transcripts
P07682842A0294|224 238|human fMLF-R gene
P07682842A0294|64 87|chemotactic receptor genes
P07682842A0771|3 11|first exon
P07682842A0771|57 61|exon 2
P07683131A0885|100 114|catalytic domain
P07683375A0000|28 40|growth factors
P07683375A0000|136 137|ER
P07683375A0000|136 137|ER
P07683375A0000|199 212|protein kinases
P07683375A0000|119 134|estrogen receptor
P07685263A0503|32 59|Whipple-specific DNA fragments
P07685263A0503|62 73|284 base pairs
P07685823A1234|0 12|RNA polymerase
P07685823A1234|76 81|DNase I
P07685823A1234|104 112|start site
P07685823A1234|53 71|20 base-pair sequence
P07685874A0258|167 173|amylase
P07687320A0526|0 23|Recombinant plasmid pFV100
P07687320A0526|89 91|ge6
P07687541A0200|120 123|mtr1
P07687541A0992|23 25|Ran
P07687541A0992|51 64|ras superfamily
P07687541A0992|113 116|CNR1
P07687541A0992|120 123|CNR2
P07687541A0992|23 25|Ran
P07687541A0992|33 45|nuclear GTPase
P07688112A0274|75 98|prostatic acid phosphatase
P07689154A0168|50 56|uPA gene
P07689154A0168|165 171|uPA mRNA
P07689154A0168|165 171|uPA mRNA
P07689154A0168|131 134|pp60
P07691837A1359|30 42|K3 keratin gene
